0,1,2
0,5,결혼기념일을 맞아 방문했는데 역시나 좋은 시설과 서비스로 즐거운 시간 보냈습니다
1,15,클럽룸으로 이그제큐티브 라운지를 이용하였는데 총 네 번 이용했어요
1,0,에프터눈 티랑 디너랑 조식이랑 해피아워 였던 거 같아요
1,1,호텔리어들의 서비스랑 하우스키퍼들도 훌륭하였고 다 괜찮았어요
1,5,호캉스를 한다면 클럽 룸을 추천해요
1,15,굳이 호텔 밖으로 나갈 필요도 없고 라운지만 이용해도 배가 엄청 불러요
1,12,그치만 다시 예약한다면 아고다만의 메리트는 딱히 없는 거 같아요
1,1,다시 신라를 예약하면 공식 홈페이지에서 할 거 같아 요 가격 측면에서도 딱히 저렴한 지 모르겠고 40만원 중반으로 예약했던 거 같은데 적립머니도 주어지지 않아서 메리트는 없는 거 같아요
1,2,그냥 공식 홈페이지에서 예약하는 걸 추천해요
2,1,숙소의 위치 업무 편의성 모든 게 편안한 출장 계속 이용하려 합니다
3,14,성수기라 체크인 시간은 좀 걸렸지만 직원들의 태도와 친절도가 우수했다
3,15,실내 수영장도 개방형이라서 좋았다
3,15,수영장 샤워실이 좁은 것이 아쉬웠다
3,7,객실 인테리어 및 편의시설은 훌륭했다
3,16,화장실 및 욕실은 최상급이였다
3,15,피트니스 근력 운동기구 다양했지만 사용법을 모르면 사용하기 어려웠다
3,2,체크아웃까지 정말 친절하게 모든 필요를 채워주셔서 감사했다
4,2,체크인이 원래 3시 반인데 전날 밤을 새서 너무 피곤해 하며 두 시간 더 일찍 갔는데 바로 체크인 할 수 있는 룸을 주시고 게다가 무료 룸업 글도 해 주셔서 매우 감동했습니다
4,12,란 생각이 마구 들더군요
4,7,신라는 반얀에 비해 층 고도 높고 룸도 쾌적하고 시설도 더 깔끔하고 조식이 훨씬 맛있었습니다
4,5,이전에 투숙했을 때나 이번에 나 직원 분들이 지인 짜 친절하 셨습니다
4,14,매번 이 친절 때문에 또 오고 싶단 생각이 듭니다
4,12,방문했던 5성급 호텔들 중 가격 대비 제일 만족도가 높은 것 같습니다
4,2,체크아웃이 12시 인 것도 마음에 듭니다
4,1,비즈니스 고객들한테 특히 더 좋을 듯 합니다
4,16,단점은 화장실 휴지걸이가 힘이 없고 헐거워서 자꾸 빠지는 것 정도 여튼 출장 투숙객들한테 강추합니다
5,1,하도 좋다는 말을 많이 들어서 오히려 기대는 안했습니다
5,14,들어가자마자 저와 친구의 짐을 확인하고 들어주시는데 거기서 1차 충격 감동 체크인 전부터 직원 분들 친절이 몸에서 넘쳐 흐르시더군 요 객실은 생각보다 좁았으나 룸 컨디션 훌륭합니다
5,5,저는 이번 1박 2일 주말 숙박 동안 직원 분들께 너무 감사했습니다
5,14,짧은 멘트에도 느껴지는 친절은 신라에서만 느낄 수 있을 거라 생각됩니 다
5,1,프라이드가 굉장할 거라 생각해요
5,2,더 파크뷰 조식 먹으러 갈 때 객실 실내화를 신고 갔는데 ㅎㅎㅎ 매니저분인지 민망하지 않게 안 된다며 잘 말씀해 주시더군 요 식사는 말할 것도 없고 처음부터 끝까지 기분 좋은 걸 넘어 감동이였습니다
5,14,정말 멋지고 멋진 직원 분들이였습니다
6,13,1 첫 번째 위치 오는 길 역이랑 상당히 가깝습니다
6,13,도보로도 충분히 갈 수 있는 편리한 거리에 호텔 바로 앞 장충체육관 근처로 요거프레소와 편의점도 있어 편리했습니다
6,3,차량을 소지하셔서 운전하시고 오신다면 발렛 서비스도 상당히 괜찮다고 생각합니다
6,13,2 식당 한 중 일 식당으로 유명하죠
6,1,이용하진 않았습니다만 전체적인 메뉴도 균형 잡혀 있고 손님 접대 시 아주 괜찮다고 들었습니다
6,0,뿐만 아니라 더 파크뷰의 요리는 훌륭했습니다 고기가 가끔 오버쿡 되어 있던 것들이 있었지만 전체적 조리 스킬과 음식 자체가 훌륭했어요
6,0,아이들이 먹을 만한 메뉴는 빵 리조 또 등이 있지만 다채롭지는 않다고 생각했습니다
6,0,커피가 아주 훌륭했어요
6,7,3 청결 서비스 숙소 내 청결도는 상당히 만족했습니다
6,2,각 잡혀 있는 미니바에서 부터 빨래 서비스도 좋았고 얼음과 의자를 부탁드렸었는데 아주 빠르게 대처해 주셨습니다
6,2,체크아웃까지도 요구했던 빨래가 도착하지 않아 걱정했는데 여유롭게 나와도 괜찮다며 아주 친절히 응대해주셨습니다 만족해요
7,3,주차부터 퇴실 때까지 너무 친절하고 좋았어요
7,9,가드 설치도 따로 해주셔서 아기도 안전하게 잘 잤구요
8,15,아기랑 함께 이용했어요
8,3,따로 발렛을 하지 않았더니 주차타워로 안내해줬는데 주차타워에 엘리베이터가 없어서 정말 당황 주차타워에서 호텔까지 너무 멀고 유모차를 끌고는 올라갈 수 없는 구조에 당황 이었지만 직원 분들께서 대처해주셔서 바로 픽업해 주셔서 그래도 아기랑 불편하지 않게 불편하지 않았다고는 할 수 없지만 사용할 수 있었어요
8,12,그래서 숙소 편의와 부대시설에서 별 두 개 깎았어요
8,9,직원들은 매우 친절하셨고 아기 침대 신청했더니 방에 미리 설치해 주셔서 너무 잘 이용하고 왔네요
8,0,조식을 따로 신청하는 것이 저렴할 것 같아 조식도 체크인하며 신청해서 먹었는데 맛있었어요
8,2,아기를 위해서 흰 죽도 따로 끓여주셔서 배려에 감동했네요
9,15,비록 추가 비용이 발생하지만 실내 수영장도 좋고 1층의 베이커리도 맛있습니다
9,0,조식도 훌륭해요 ㅎㅎ
10,14,이그제큐티브 라운지 여자 직원분께서 친절하게 응대해주시고 꽃다발보시더니 기념일이시냐면서 초콜렛도 보내주시더군요
10,5,주말인데 룸 업그레이드도 받고 미리 예약해서 싸게 다녀 왔습니다
10,0,음식은 먹다 보면 질리기는 하지만 괜찮았습니다
10,5,다음 기념일에도 괜찮은 가격이면 다시 올려 구요
11,7,분위기 좋아요
13,7,분위기 좋음
14,15,일단 평일 기준으로 가서 인지 가격도 저렴하게 예약할 수 있었고 수영을 좋아해서 실내 수영장을 애용했는데 투숙객 전용이어서 그런지 애들도 없고 여유롭게 수영했습니다
14,0,조식도 맛있었습니다
15,12,역시 먹을 때는 신라
16,0,명성 많이 듣고 갔지만 생각보다 아쉽습니다 라운지 뷰나 분위기는 환상적이지만 해피 아워 서비스는 다소 아쉬웠습니다
17,4,웰컴 워터 넉넉한 곳은 여기뿐인 듯해요
17,4,다른 곳은 보통 2병뿐인데 여긴 기본 4병 이런 사소한 것도 좋아요
18,14,쾌적하고 기분 좋은 곳 출장을 자주 다니지만 신 라만큼 직원 분들이 친철한 곳은 없는 듯해요
19,2,신라는 늘 기분 좋은 곳입니다
20,14,직원 분들도 친절하고 전체적으로 만족했습니다
21,1,한국에서 가장 좋은 호텔
22,5,엄마랑 동생이랑 조카랑 대가족이 방문했습니다
22,15,유아는 라운지가 동반할 수 없어 조금 불편했지만 그 외 모든 것에 엄마가 굉장히 만족해 하셨습니다
22,0,음식도 맛있고 전망도 좋고 룸도 훌륭하며 사우나도 좋다고 다음엔 이 모들과 다 같이 오자 고 하셔서 간 만에 효도 한 딸이 되었습니다
22,5,친구들이나 동생과 만 오다가 너무 좋아서 엄마 모시고 갔는데 지금까지 간 호텔 중에 제일 마음에 들어 하셔서 아주 보람 있었습니다
22,15,이그젝라운지 이용 가능한 룸으로의 숙박을 적극 추천합니다
22,0,애프터눈티 해피 아워 조식 브런치 주말 4번의 음식에 대해서 엄마가 아주 감탄하셨습니다
22,14,직원들의 서비스는 갈 때마다 느끼는 건데 친절하고 일 처리 빠르고 아주 편안한 서비스를 받을 수 있는 곳입니다
22,5,다음에 또 이용 예정입니다
23,14,룸도 깨끗하고 체크인 담당 직원 분들도 친절합니다
23,3,다만 체크아웃하고 주차장까지 가기엔 거리가 조금 있어서 차를 가지고 다시 들어와야 하는 상황이었어요
23,5,차를 가지고 와서 다시 짐을 싣는데 여자분이 오셔서 짐 싣는 걸 도와 주시더군요
23,2,저도 여자인데 둘이 짐드는데 넘 무거워서 뒤 트렁크에 올리면서 버벅거리다 결국 트렁크 기스났네요
23,14,맡겨둔 캐리어가 크다는 거 뻔히 보셨으면서 여자 직원분이 와서 짐 싣는 걸 도와 준다는 건 무슨 의 도인지
23,14,남자분이 그렇게 많았는데 아무도 도와 주시지도 않더라구요
23,2,체크아웃전에만 손님 인 건가요
24,14,친절한 직원 라운지 최신 시설
25,1,오성급 호텔 다운 서비스와 시설 느끼고 갑니다
25,15,특히 이그제큐티브 라운지 패키지는 끼니 걱정 없이 투숙하는 내내 편하게 이용할 수 있어서 참 좋습니다
26,0,클럽 라운지의 음식들 하나하나 넘나 맛있었어요
26,15,호텔 피트니스 클럽과 실내 수영장도 이번에 처음 이용해봤어요
26,5,배 꺼뜨릴려 구요 ㅋㅋ
26,12,그치만 가격이 가격인지라 가성비로 따지면 좀 애매해지긴 하네요
26,0,아침에 많이 먹지 못하는 제 남편은 조식이 입에는 잘 맞는데 다 먹을 수가 없어 안타깝다며 엄청 슬퍼했어요
26,0,근데 과일이 안 바뀌는 점은 확실히 좀 별로였네요
27,12,집이랑 가까워서 심심할 때마다 가는데 항상 만족스럽습니다
28,1,바쁘나 안 바쁘나 서비스의 질이 떨어지면 안 된다고 생각하지만 사람의 일인지라 어쩔 수 없긴 하더라고요
28,2,체크인부터 삐 그덕 방을 바꾸는 과정에서 불친절했던 직원의 모습 룸 서비스에서 2차 삐 그덕 잘못된 오더를 바로잡는 과정에서 우리가 요구했던 걸 들어준 건 음식을 취소해주세요
28,2,했을 때 바로 취소해준 것 뿐이더군요
28,5,다음번 방문할 땐 백퍼센트 만족할 수 있길
