text,category,sentiment,rawsentenceIdx
영빈관 뷰도 좋아요,소리,1,90
단점은 일단 없습니다,소리,0,206
방음도 잘 되어 노래 틀고 놀아도 민원이 없었다는 점도 만족스럽고 룸 컨디션도 좋았습니다,소리,1,423
영빈관 뷰 아름답고 좋습니다,소리,1,430
단점은 차 없으면 올라가기 힘듬 끝,소리,0,460
공사 중이고 방 간에 방음이 잘 되지 않은 편이라 시끄러웠습니다,소리,0,484
방음상 태 나 쁨 옆방 아이들 떠드는 소리 신경 쓰일 정도였어요,소리,0,495
위치 언덕 위에 있어서 주차장과 거리가 멀고 돈은 돈대로 비싼데 침대 바로 옆이 샤워실인데 어디선가 물 내려 가는 소리가 너무 크게 들려서 컴플레인 하니까 오래되어서 그렇다고 하는데 이게 말이 되나,소리,0,522
티비는 좀 불편했습니다,소리,0,592
방만 깨끗,소리,1,657
채널이 모자름,소리,0,706
전반적으로 다 좋았지만 방에서 복도나 다른 방 소음이 잘 들려서 아쉬웠습니다,소리,0,719
공사가 끝나면 문제는 없을 듯합니다,소리,0,731
중국인 간들이 객실 내에서 담배를 피워서 좋진 않았어요,소리,0,743
근데 입고 자기엔 까실거려요,소리,0,747
층 간 방음이 약해서 아쉬웠다,소리,0,825
새벽에 좀 따뜻했음,소리,0,865
호캉스족들이 모려와 난리도 아니야,소리,0,893
공사 중 어수선함,소리,0,905
모처럼 푹 자고 싶어서 예약한 거였고 남산 전망 객실이었는데 아무래도 오토바이 소리 같은 소음들이 새벽에 좀 거슬리 긴 했습니다,소리,0,921
출입구 센서 등이 고장 나서 새벽에 직원을 다 불렀습니다,소리,0,946
아직 포시진은 못 가봤네요,소리,1,978
공정거래위원회는 무엇하는지,소리,0,1057
단 밤에 잠을 잘 때 히터기에서 이상한 소리가 규칙적으로 들려서 잠을 잘 못 잤습니다,소리,0,1079
도저히 잠을 못 자서 새벽 3시에 다른 방으로 옮겨서 자게 됬어요,소리,0,1079
일단 어매니티에 깜짝 놀랐고 신경을 많이 썼다는 게 룸 들어가자마자 계 속 느껴졌습니다,소리,0,1090
특히 야외자쿠지가 너무 좋았고요,소리,1,1117
단점 건물이 오래되서 그런지 복도 사이가 좁아서 방음이 잘 안 됩니다,소리,0,1156
복도 소움이 들리네요,소리,0,1156
방은 깨끗하고 방음이 잘 되어 있었습니다,소리,1,1253
매우 바쁜 호텔이 우리가 묵는 동안 방에 있는 복도 소음이 되지 않습니다,소리,1,1295
웹 고자,소리,1,1511
그래도 나는 단지 너 를 가 난 가우징을 있습니다,소리,0,1513
굳이 호텔 밖으로 나갈 필요도 없고 라운지만 이용해도 배가 엄청 불러요,체크,1,1
실내 수영장도 개방형이라서 좋았다,체크,1,3
수영장 샤워실이 좁은 것이 아쉬웠다,체크,0,3
피트니스 근력 운동기구 다양했지만 사용법을 모르면 사용하기 어려웠다,체크,0,3
체크인이 원래 3시 반인데 전날 밤을 새서 너무 피곤해 하며 두 시간 더 일찍 갔는데 바로 체크인 할 수 있는 룸을 주시고 게다가 무료 룸업 글도 해 주셔서 매우 감동했습니다,체크,1,4
체크아웃이 12시 인 것도 마음에 듭니다,체크,1,4
더 파크뷰 조식 먹으러 갈 때 객실 실내화를 신고 갔는데 ㅎㅎㅎ 매니저분인지 민망하지 않게 안 된다며 잘 말씀해 주시더군 요 식사는 말할 것도 없고 처음부터 끝까지 기분 좋은 걸 넘어 감동이였습니다,체크,1,5
차량을 소지하셔서 운전하시고 오신다면 발렛 서비스도 상당히 괜찮다고 생각합니다,체크,1,6
각 잡혀 있는 미니바에서 부터 빨래 서비스도 좋았고 얼음과 의자를 부탁드렸었는데 아주 빠르게 대처해 주셨습니다,체크,1,6
체크아웃까지도 요구했던 빨래가 도착하지 않아 걱정했는데 여유롭게 나와도 괜찮다며 아주 친절히 응대해주셨습니다 만족해요,체크,1,6
따로 발렛을 하지 않았더니 주차타워로 안내해줬는데 주차타워에 엘리베이터가 없어서 정말 당황 주차타워에서 호텔까지 너무 멀고 유모차를 끌고는 올라갈 수 없는 구조에 당황 이었지만 직원 분들께서 대처해주셔서 바로 픽업해 주셔서 그래도 아기랑 불편하지 않게 불편하지 않았다고는 할 수 없지만 사용할 수 있었어요,체크,0,8
직원들은 매우 친절하셨고 아기 침대 신청했더니 방에 미리 설치해 주셔서 너무 잘 이용하고 왔네요,체크,1,8
비록 추가 비용이 발생하지만 실내 수영장도 좋고 1층의 베이커리도 맛있습니다,체크,1,9
일단 평일 기준으로 가서 인지 가격도 저렴하게 예약할 수 있었고 수영을 좋아해서 실내 수영장을 애용했는데 투숙객 전용이어서 그런지 애들도 없고 여유롭게 수영했습니다,체크,1,14
웰컴 워터 넉넉한 곳은 여기뿐인 듯해요,체크,1,17
다른 곳은 보통 2병뿐인데 여긴 기본 4병 이런 사소한 것도 좋아요,체크,1,17
다만 체크아웃하고 주차장까지 가기엔 거리가 조금 있어서 차를 가지고 다시 들어와야 하는 상황이었어요,체크,1,23
저도 여자인데 둘이 짐드는데 넘 무거워서 뒤 트렁크에 올리면서 버벅거리다 결국 트렁크 기스났네요,체크,0,23
체크아웃전에만 손님 인 건가요,체크,0,23
바쁘나 안 바쁘나 서비스의 질이 떨어지면 안 된다고 생각하지만 사람의 일인지라 어쩔 수 없긴 하더라고요,체크,0,28
했을 때 바로 취소해준 것 뿐이더군요,체크,0,28
체크인 할 때부터 매우 만족스러웠습니다,체크,1,29
추가로 요청했던 사항들을 세심하게 챙겨주셨고요 덕분에 멋진 야경을 감상할 수 있었습니다,체크,1,29
체크아웃 할 때도 친절하게 주차 확인까지 해주셨고요 조만간 또 방문 하고 싶네요,체크,1,29
다만 평일 내 아이들이 실내 수영장 이용이 불가한 점 미리 고지가 되었으면 좋겠습니다,체크,1,36
말이 필요 없음,체크,1,38
발렛까지 한다면 정말 최고 였겠지만 발렛비를 아껴야 한다면 주차장이 조금 협소하니 참고,체크,0,42
라운지 이용을 할 수 있어서 좋은 점도 있지만 사람이 너무 많아 번 잡스러운 경우가 많아서 아쉽기도 합니다,체크,0,47
다 만 저녁 예약이 어렵다는 게 단점이라면 단점입니다,체크,1,49
주차장은 끔 직함,체크,1,54
최고라는 가격은 기름값도 있구 그런데 주차는 정말 최악 발에서는 회당 2만원 호텔비 나온 다 주차장은 항상 가득 찬 있고 조식은 한 5만원 정도 있나 6만원이였나 저금 비쌈,체크,0,55
근데 사우나 회원인지 투숙객한테 좀 갑질 비슷한 을 해서 기분이 좀 상함,체크,0,56
조금 일찍 도 착 하였는데 바로 체크인 했어요,체크,1,61
호텔에서 한 번에 모든 걸 해결할 수 있었으면 좋겠습니다,체크,0,62
사용 해서 잘 모르겠으나 조식 이용 때 줄 서서 기다린 다는 게 이해 하기 힘듬,체크,0,64
다만 들어갈 때 계단이 좀 높았고 올라가서도 인도가 제대로 없어서 계속 차를 피해 다녀야 했어요,체크,1,72
그리고 수영장에 자쿠지가 어딘지 찾기 힘들게 돼 있네요,체크,0,72
주차가 면세 이용객 때문에 너무 불편해 요 타워 주차장에서 서비스카 정문까지 이용하란 얘긴 들었는데 상주 직원이 별도로 없어서 매우 힘들었어요,체크,0,78
